Kalimat,Tingkat Pemahaman
"Namun secara umum, dalam kesalehan masyarakat Yunani, mitos-mitos tersebut dipandang sebagai kisah nyata.",Belum Berkembang
"Mitologi Yunani kemudian mempunyai pengaruh luas pada seni dan sastra peradaban Barat, yang menjadi pewaris sebagian besar kebudayaan Yunani.",Sudah Mahir
"Meskipun orang-orang dari semua negara, era, dan tahapan peradaban telah mengembangkan mitos-mitos yang menjelaskan keberadaan dan cara kerja fenomena alam, menceritakan perbuatan para dewa atau pahlawan, atau berupaya membenarkan institusi sosial atau politik, mitos-mitos Yunani tetap tak tertandingi.",Sudah Mahir
Di dunia Barat sebagai sumber ide-ide imajinatif dan menarik.,Berkembang Sedang
Penyair dan seniman dari zaman kuno hingga sekarang mendapatkan inspirasi dari mitologi Yunani dan telah menemukan signifikansi dan relevansi kontemporer dalam tema mitologi Klasik.,Berkembang Sedang
"Sejarawan Yunani abad ke 5 SM, Herodotus, menyatakan hal ituHomer dan Hesiod memberi para dewa Olympian karakteristik mereka yang sudah dikenal.",Sudah Mahir
Hanya sedikit orang saat ini yang mau menerima hal ini secara harfiah.,Sudah Mahir
"Dalam buku pertama Iliad, putra Zeus dan Leto langsung dapat dikenali oleh pembaca Yunani melalui patronimiknya seperti halnya putra Atreus.",Berkembang Sedang
"Dalam kedua kasus tersebut, penonton diharapkan memiliki pengetahuan tentang mitos-mitos yang mendahului penyampaian sastra mereka.",Sudah Mahir
"Sedikit yang diketahui menunjukkan bahwa orang-orang Yunani memperlakukan Homer, atau sumber-sumber mitos Yunani lainnya, hanya sebagai hiburan belaka, sedangkan ada orang-orang Yunani terkemuka dari Pindar hingga Stoa yang belakangan menganggap mitos, dan khususnya dari Homer, begitu serius sehingga tidak bisa dianggap remeh.",Sudah Mahir
memerlukan bowdlerisasi atau alegorisasi.,Berkembang Sedang
Sumber mitos terlengkap dan terpenting tentang asal usul para dewa adalah Theogony of Hesiod.,Berkembang Sedang
Silsilah rumit yang disebutkan di atas disertai dengan cerita rakyat dan mitos etiologi.,Sudah Mahir
"The Works and Days membagikan beberapa di antaranya dalam konteks kalender petani dan pidato ekstensif tentang keadilan yang ditujukan kepada saudara laki-laki Hesiod yang mungkin fiktif, Perses.",Sudah Mahir
Pandangan ortodoks memperlakukan kedua puisi tersebut sebagai tema yang sangat berbeda dan memperlakukan Pekerjaan dan Hari-hari sebagai sebuah teodisi (teologi alamiah).,Sudah Mahir
"Namun, kedua puisi tersebut dapat dianggap sebagai sebuah diptych, yang masing-masing bagiannya bergantung pada yang lain.",Sudah Mahir
"Theogony menyatakan identitas dan aliansi para dewa, sedangkan Works and Days memberikan nasihat tentang cara terbaik untuk sukses di dunia yang berbahaya, dan Hesiod mendesak bahwa cara yang paling dapat diandalkan—walaupun tidak pasti—adalah dengan bersikap adil.",Sudah Mahir
Epos-epos pasca-Homer yang terpisah-pisah dengan tanggal dan pengarang yang berbeda-beda mengisi kekosongan dalam kisah Perang Troya yang dicatat dalam Iliad dan Odyssey ; apa yang disebut Nyanyian Rohani Homer (puisi pendek yang masih ada) adalah sumber dari beberapa mitos agama yang penting.,Sudah Mahir
"Banyak penyair lirik yang melestarikan berbagai mitos, tetapi odenyaPindar dari Thebes (berkembang pada abad ke 6 hingga ke 5 SM) sangat kaya akan mitos dan legenda.",Sudah Mahir
"Karya tiga tragedi Aeschylus ,Sophocles, dan Euripides, semuanya berasal dari abad ke 5 SM sangat luar biasa karena keragaman tradisi yang mereka lestarikan.",Sudah Mahir
"Pada zaman Helenistik Callimachus, seorang penyair dan cendekiawan abad ke 3 SM di Aleksandria, mencatat banyak mitos yang tidak jelas; sezamannya, sang mitograferEuhemerus, berpendapat bahwa para dewa pada mulanya adalah manusia, suatu pandangan yang dikenal sebagaiEuhemerisme .Apollonius dari Rhodes, sarjana lain dari abad ke-3 SM, menyimpan catatan lengkap tentang para Argonaut yang mencari Bulu Domba Emas.",Sudah Mahir
"Pada periode tersebutKekaisaran Romawi, Geografi Strabo (abad ke 1 SM), Perpustakaan pseudo Apolodorus (dikaitkan dengan seorang sarjana abad ke 2 ), tulisan-tulisan antik dari penulis biografi Yunani Plutarch, dan karya-karya Pausanias, abad ke-2 sejarawan abad ke-2, serta Silsilah Latin Hyginus, seorang mitografer abad ke-2, telah memberikan sumber-sumber berharga dalam bahasa Latin tentang mitologi Yunani di kemudian hari.",Berkembang Sedang
"Penemuan tersebutPeradaban Mycenaean oleh Heinrich Schliemann, seorang arkeolog amatir Jerman abad ke-19, dan penemunya Peradaban Minoa di Kreta (tempat asal mula Mycenaean ) oleh Sir Arthur Evans, seorang arkeolog Inggris abad ke-20, berperan penting dalam memahami perkembangan mitos dan ritual di dunia Yunani pada abad ke-21.",Berkembang Sedang
Penemuan tersebut menerangi aspek kebudayaan Minoa dari sekitar tahun 2200 hingga 1450 SM dan kebudayaan Mycenaean dari sekitar tahun 1600 hingga 1200 SM ; era tersebut diikuti oleh Zaman Kegelapan yang berlangsung hingga sekitar 800 SM.,Sudah Mahir
"Sayangnya, bukti mengenai mitos dan ritual di situs Mycenaean dan Minoan sepenuhnya bersifat monumental, karenaAksara Linear B (bentuk kuno dariBahasa Yunani yang ditemukan di Kreta dan Yunani) terutama digunakan untuk mencatat persediaan.",Sudah Mahir
"Desain geometris pada tembikar abad ke8 SM menggambarkan pemandangan dari siklus Trojan, serta petualangan Heracles.",Berkembang Sedang
"Namun, formalitas gaya yang ekstrem membuat sebagian besar identifikasi menjadi sulit, dan tidak ada bukti prasasti yang menyertai desain tersebut untuk membantu para sarjana dalam identifikasi dan interpretasi.",Sudah Mahir
"Pada periode Archaic, dan Helenistik berikutnya, Homer dan berbagai adegan mitologis lainnya muncul untuk melengkapi bukti sastra yang ada.",Sudah Mahir
Mitos agama Yunani berkaitan dengan dewa atau pahlawan dalam aspek yang lebih serius atau berhubungan dengan ritual.,Sudah Mahir
"Kisah-kisah tersebut mencakup kisah-kisah kosmogonis tentang asal usul para dewa dan dunia di luar Kekacauan, suksesi para penguasa ilahi, dan pergulatan internal yang berpuncak pada supremasi alam semesta.",Sudah Mahir
"Zeus, dewa penguasa Olympus (gunung yang dianggap sebagai rumah para dewa).",Berkembang Sedang
"Kisah-kisah tersebut juga mencakup kisah cinta Zeus yang panjang dengan para dewi dan wanita fana, yang biasanya mengakibatkan kelahiran para dewa dan pahlawan yang lebih muda.",Sudah Mahir
"Sang dewi Status unik Athena tersirat dalam kisah kelahirannya yang tidak mempunyai ibu (dia tumbuh dewasa dari dahi Zeus); dan mitos Apollo menjelaskan asosiasi sakral dewa tersebut, menggambarkan kemenangannya yang luar biasa atas monster dan raksasa, dan menekankan kecemburuannya serta bahaya yang melekat dalam aliansi abadi.",Sudah Mahir
"Mitos Dionysus, sebaliknya, menunjukkan permusuhan yang ditimbulkan oleh keyakinan baru.",Berkembang Sedang
"Beberapa mitos terkait erat dengan ritual, misalnya kisah tentang penenggelaman tangisan bayi Zeus oleh para Curetes, pelayan Zeus, bentrokan senjata, atau pemulihan keperawanannya setiap tahun oleh Hera dengan mandi di mata air Canathus.",Berkembang Sedang
Beberapa mitos tentang pahlawan juga mempunyai dasar agama.,Berkembang Sedang
Kisah penciptaan dan kemerosotan moral merupakan bagian dari mitos Empat Zaman.,Berkembang Sedang
Penghancuran umat manusia akibat banjir dan regenerasi manusia dari batu sebagian didasarkan pada cerita rakyat.,Berkembang Sedang
"Mitos dipandang sebagai perwujudan kebenaran ilahi atau abadi, sedangkan legenda (atau saga) bersifat kuasi-historis.",Berkembang Sedang
"Oleh karena itu, peristiwa terkenal dalam epos, seperti Perang Troya, umumnya dianggap benar-benar terjadi, dan pahlawan serta pahlawan wanita diyakini benar-benar pernah hidup.",Sudah Mahir
"Kisah-kisah sebelumnya, seperti pelayaran para Argonaut, diterima dengan cara yang sama.",Berkembang Sedang
"Sebagian besar legenda Yunani dibumbui dengan cerita rakyat dan fiksi, namun beberapa di antaranya pasti mengandung dasar sejarah.",Berkembang Sedang
"Demikianlah kisah lebih dari satu karung Troy, yang didukung oleh bukti arkeologis, dan kerja keras Heracles, yang mungkin menunjukkan feodalisme Mycenaean.",Sudah Mahir
"Sekali lagi, legenda Minotaur (makhluk setengah manusia, setengah banteng) bisa saja muncul dari kisah berlebihan tentang lompatan banteng di Kreta kuno.",Belum Berkembang
"Dalam legenda kelas lain, pelanggaran keji—seperti upaya memperkosa seorang dewi, menipu para dewa secara berlebihan dengan menuduh mereka melakukan kejahatan, atau mengambil hak prerogatif mereka—dihukum dengan penyiksaan abadi di dunia bawah.",Berkembang Sedang
"Akibat kejahatan sosial, seperti pembunuhan atau inses, juga digambarkan dalam legenda misalnya kisah Oedipus, yang membunuh ayahnya dan menikahi ibunya.",Sudah Mahir
Legenda terkadang juga digunakan untuk membenarkan sistem politik yang ada atau untuk mendukung klaim teritorial.,Sudah Mahir
"Cerita rakyat, yang terdiri dari tema-tema populer yang berulang dan diceritakan untuk hiburan, mau tidak mau masuk ke dalam mitos Yunani.",Sudah Mahir
"Begitulah tema orang hilang baik suami, istri, atau anak ditemukan atau pulih setelah petualangan yang panjang dan mengasyikkan.",Sudah Mahir
"Perjalanan ke negeri orang mati dilakukan oleh Orpheus, pahlawan yang pergi ke Hades untuk mengembalikan istrinya yang telah meninggal, Eurydice, ke alam kehidupan, kemudian Heracles, Odysseus, dan Theseus sang pembunuh Minotaur.",Sudah Mahir
"Kemenangan manusia kecil melalui kelicikan melawan rintangan yang mustahil, eksploitasi manusia super (misalnya Heracles), atau kemenangan atas musuh yang telah lama tertunda masih sama populernya di kalangan penulis modern seperti halnya di kalangan orang Yunani.",Sudah Mahir
"Keberhasilan melawan intrik bapak dan ibu tiri yang kejam, penyelamatan putri dari monster, dan kelupaan sementara pada saat genting juga merupakan tema umum dalam mitos Yunani.",Sudah Mahir
"Pengakuan melalui tanda-tanda, seperti kekhasan pakaian atau bekas luka Odysseus, adalah motif cerita rakyat umum lainnya.",Berkembang Sedang
Tema babes-in-the-woods tentang paparan anak-anak dan pemulihan mereka selanjutnya juga ditemukan dalam mitos Yunani.,Berkembang Sedang
"Namun, orang-orang Yunani juga mengetahui bahwa paparan terhadap anak-anak merupakan praktik umum.",Sudah Mahir
Mitos asal usul merupakan upaya untuk membuat alam semesta dapat dipahami dalam istilah manusia.,Sudah Mahir
Orang yunanimitos penciptaan (kosmogoni) dan pandangan tentang alam semesta (kosmologi) lebih sistematis dan spesifik dibandingkan pandangan masyarakat kuno lainnya.,Berkembang Sedang
"Namun kesenian mereka menjadi penghalang bagi penafsiran, karena orang-orang Yunani membumbui mitos-mitos tersebut dengan cerita rakyat dan fiksi yang diceritakan demi kepentingan mereka sendiri.",Sudah Mahir
"Jadi, meskipun tujuannya adala hmilik Hesiod Teogoni menggambarkan kekuasaan Zeus, penyertaan tema-tema umum seperti permusuhan antar generasi, teka -teki wanita (Pandora), eksploitasi penipu ramah (Prometheus), dan perjuangan melawan makhluk atau monster kuat seperti para Titan (dan, dalam tradisi selanjutnya, para Raksasa) meningkatkan minat terhadap kisah epik.",Sudah Mahir
"Menurut Hesiod, empat makhluk ketuhanan utama pertama kali muncul: Celah (Kekacauan), Bumi (Gaea), Jurang maut (Tartarus), dan Cinta (Eros).",Berkembang Sedang
"Proses kreatif dimulai dengan pemisahan paksa Gaea dari permaisurinya yang penyayang, Surga (Uranus) untuk memungkinkan keturunannya dilahirkan.",Sudah Mahir
"Cara pemisahan yang dilakukan adalah pemotongan alat kelamin Uranus oleh putranya Cronus, memiliki kemiripan tertentu dengan cerita serupa yang dicatat dalam epos Babilonia.",Sudah Mahir
"Namun, kekasarannya terhapuskan, dengan gaya khas Yunani, dengan kolaborasi persahabatan antara Uranus dan Gaea, setelah perceraian mereka, dalam rencana untuk menyelamatkan Zeus dari Cronus yang sama, bapaknya yang kanibal.",Sudah Mahir
"Menurut konsep kosmologi Yunani, Bumi dipandang sebagai piringan datar yang mengapung di sungai Samudera.",Sudah Mahir
Matahari (Helios) melintasi langit seperti kusir dan berlayar mengelilingi bumi dalam mangkuk emas di malam hari.,Berkembang Sedang
Celah alami secara populer dianggap sebagai pintu masuk ke rumah bawah tanah Hades yaitu rumah orang mati.,Belum Berkembang
"Sejak masa awal, mitos-mitos Yunani tampaknya terbuka terhadap kritik dan perubahan atas dasar moralitas atau penafsiran yang salah terhadap fakta-fakta yang diketahui.",Sudah Mahir
"Dalam pekerjaan dan hari, Hesiod menggunakan skema Empat Zaman (atau Ras): Emas, Perak, Perunggu, dan Besi.",Berkembang Sedang
"“Ras” adalah terjemahan yang lebih akurat, namun “Zaman Keemasan” telah menjadi begitu mapan dalam bahasa Inggris sehingga kedua istilah tersebut harus disebutkan.",Sudah Mahir
"Ras-ras atau zaman-zaman ini adalah ciptaan para dewa yang terpisah, Zaman Keemasan milik pemerintahan Cronus dan ras-ras berikutnya adalah ciptaan Zeus.",Sudah Mahir
"Mereka yang berada di Zaman Keemasan tidak pernah menjadi tua, bebas dari kerja keras, dan menghabiskan waktu mereka dalam kegembiraan dan pesta.",Sudah Mahir
"Ketika mereka meninggal, mereka menjadi roh penjaga di Bumi.",Berkembang Sedang
"Mengapa Zaman Keemasan berakhir Hesiod gagal menjelaskannya, namun digantikan oleh Zaman Perak.",Belum Berkembang
"Setelah masa kanak-kanak yang sangat panjang, orang-orang Zaman Perak mulai bertindak lancang dan mengabaikan para dewa.",Sudah Mahir
"Akibatnya, Zeus menyembunyikan mereka di bumi, di mana mereka menjadi roh di antara orang mati.",Belum Berkembang
"Zeus selanjutnya menciptakan manusia Zaman Perunggu, manusia kekerasan yang binasa karena saling menghancurkan.",Sudah Mahir
Pada titik ini penyair menyisipkan Zaman (atau Ras) Pahlawan.,Berkembang Sedang
"Dengan demikian ia menghancurkan simetri mitos, demi kepentingan sejarah, apa yang sekarang dikenal sebagai periode Minoa-Mycenaean secara umum diyakini pada zaman kuno sebagai waktu yang baik untuk hidup.",Sudah Mahir
"Penyerahan mitos terhadap sejarah tidak bersifat universal di Yunani, namun ditemukan pada penulis-penulis seperti Hesiod, Xenophanes, Pindar, Aeschylus, dan Plato.",Berkembang Sedang
"Diantara pahlawan-pahlawan ini, yang lebih disukai yaitu yang berkerabat dengan para dewa dikembalikan ke semacam keberadaan Zaman Keemasan yang dipulihkan di bawah pemerintahan Cronus dengan dipaksa ke pengasingan yang terhormat oleh putranya Zeus di Kepulauan Yang Terberkati.",Sudah Mahir
"Zaman terakhir, kebalikan dari Zaman Keemasan, adalah Zaman Besi, di mana sang penyair sendiri mengalami kemalangan untuk hidup.",Sudah Mahir
"Namun hal ini pun bukan yang terburuk, karena ia yakin akan tiba waktunya ketika bayi akan lahir dalam keadaan tua dan tidak ada lagi jalan keluar untuk melawan kemerosotan moral secara universal.",Sudah Mahir
Kehadiran kejahatan dijelaskan oleh tindakan gegabah Pandora dalam membuka toples fatal itu.,Belum Berkembang
"Di tempat lain dalam literatur Yunani dan Romawi, kepercayaan pada periode atau ras yang berurutan ditemukan dengan keyakinan bahwa dengan cara tertentu, ketika yang terburuk tercapai, sistem secara bertahap (Plato, Politikos) atau dengan cepat (Virgil, Fourth Eclogue) kembali ke masa keemasan.",Sudah Mahir
Hesiod mungkin mengetahui versi ini; dia ingin dilahirkan lebih awal atau lebih lambat.,Berkembang Sedang
"Ada juga mitos kemajuan, yang diasosiasikan dengan Prometheus, dewa pengrajin, namun kemajuan tersebut terbatas, karena konsep kemajuan abadi pada abad ke-19 tidak ada dalam pemikiran Yunani.",Sudah Mahir
"Mitos tentang para dewa menggambarkan kelahiran mereka, kemenangan atas monster atau saingan, hubungan cinta, kekuatan khusus, atau hubungan dengan situs pemujaan atau ritual.",Berkembang Sedang
"Karena kekuatan ini cenderung luas, mitos banyak dewa juga rumit.",Berkembang Sedang
"Jadi, Homer Himne untuk Demeter, dewi pertanian, dan untuk Apollo dari Delian dan Pythian menggambarkan bagaimana dewa-dewa ini dikaitkan dengan situs di Eleusis, Delos, dan Delphi.",Sudah Mahir
"Begitu pula dengan mitos tentang Athena, pelindung Athena, cenderung menekankan kecintaan sang dewi pada perang dan kasih sayangnya terhadap para pahlawan dan kota Athena, serta hal-hal yang berkaitan dengan hal tersebut.",Sudah Mahir
"Hermes (utusan para dewa), Aphrodite (dewi cinta), atau Dionysus menggambarkan kecenderungan Hermes sebagai dewa pencuri, percintaan Aphrodite, dan hubungan Dionysus dengan anggur, kegilaan, keajaiban, dan bahkan ritual kematian.",Berkembang Sedang
"Poseidon (dewa laut) sangat atavistik dalam kesatuannya dengan Bumi, dan petualangan menunggang kudanya tampaknya mengingatkan kembali status pra-lautnya sebagai dewa kuda atau gempa bumi.",Berkembang Sedang
"Banyak mitos yang dianggap sepele dan ringan, namun penilaian ini bertumpu pada premis yang ditekan bahwa perilaku ilahi apa pun yang tampaknya tidak pantas untuk agama besar pasti tampak tidak masuk akal dan fiktif bagi orang Yunani.",Sudah Mahir
"Homer hampir tidak menyebutkan keputusan Paris, tapi dia tahu konsekuensi yang jauh dari sepele bagi Troy dari kebaikan Aphrodite dan permusuhan pahit dari Troy.",Sudah Mahir
"Hera dan Athena, yang mana penghakiman Paris disusun untuk menjelaskannya.",Berkembang Sedang
"Seiring berjalannya waktu, semakin banyak mitos-mitos kecil yang terus melengkapi mitos-mitos yang lebih tua dan lebih otentik.",Sudah Mahir
"Dengan demikian, kecintaan Apollo hampir diabaikan oleh Homer dan Hesiod, menjelaskan mengapa teluk (atau pohon salam) menjadi pohon suci Apollo dan bagaimana dia sampai ke ayah Asclepius, dewa penyembuh.",Berkembang Sedang
"Demikian pula, kehadiran burung kukuk di tongkat Hera di Hermione atau penemuan panpipe dijelaskan melalui dongeng.",Berkembang Sedang
"Mitos etiologi tersebut berkembang biak selamaMeskipun di era Helenistik, contoh-contoh asli lebih sulit dideteksi pada periode-periode sebelumnya.",Belum Berkembang
"Dewa rakyat, itunimfa (dewi alam) melambangkan alam atau kehidupan di air atau pepohonan dan dikatakan menghukum kekasih yang tidak setia.",Sudah Mahir
"Peri air (Naiads) terkenal menenggelamkan orang-orang yang mereka cintai, seperti Hylas, sahabat Heracles.",Sudah Mahir
"Bahkan yang lembutMuses (dewi seni dan ilmu pengetahuan) membutakan saingan manusia mereka, seperti penyair Thamyris.",Sudah Mahir
Satyr (dewa rakyat muda dengan ciri-ciri binatang) dansileni (dewa rakyat tua dan mabuk) adalah rekan laki-laki nimfa.,Berkembang Sedang
"Seperti dewa laut, Sileni memiliki pengetahuan rahasia yang hanya akan mereka ungkapkan jika ada tekanan.",Sudah Mahir
"Charon, tukang perahu orang mati yang mengerikan, juga merupakan tokoh cerita rakyat yang populer.",Sudah Mahir
"Mitos pahlawan mencakup unsur tradisi, cerita rakyat, dan fiksi.",Berkembang Sedang
"Kisah dari Argonauts misalnya, sangat kompleks dan mencakup unsur-unsur cerita rakyat dan fiksi.",Berkembang Sedang
"Episode di Siklus Trojan, seperti kepergian armada Yunani dari Aulis atau ekspedisi Kreta Theseus dan kematian di Scyros, mungkin berasal dari tradisi yang berasal dari dunia Minoa-Mycenaean.",Sudah Mahir
"Di sisi lain, peristiwa yang dijelaskan dalam Iliad mungkin berhutang lebih banyak padanya kemampuan kreatif Homer dibandingkan tradisi asli.",Sudah Mahir
"Bahkan pahlawan seperti Achilles, Hector, atau Diomedes sebagian besar bersifat fiksi, meskipun tidak diragukan lagi didasarkan pada prototipe legendaris .Itu Odyssey adalah contoh utama impor cerita rakyat secara grosirepik.",Sudah Mahir
"Semua mitos pahlawan Yunani yang paling terkenal, seperti pekerjaan Heracles dan petualangan Perseus, Cadmus, Pelops, atau Oedipus, lebih bergantung pada cerita rakyat daripada legenda.",Sudah Mahir
"Pahlawan tertentu—Herakles, Dioscuri (si kembar Castor dan Pollux), Amphiaraus (salah satu Argonaut), dan Hyacinthus (seorang pemuda yang dicintai Apollo dan secara tidak sengaja dibunuh)—dapat dianggap sebagian sebagai legenda dan sebagian lagi sebagai mitos agama.",Sudah Mahir
"Jadi, sedangkanHeracles , seorang lelaki Tiryns , mungkin awalnya adalah tokoh sejarah, mitos kematiannya di Oeta dan pengangkatannya menjadi keilahian penuh terkait erat dengan aliran sesat .",Berkembang Sedang
"Belakangan, popularitas Heracles menjadi penyebab menghubungkan kisahnya dengan para Argonaut, serangan sebelumnya terhadap Troy, dan dengan mitos Thebes.",Berkembang Sedang
"Demikian pula dengan eksploitasi Dioscuri adalah tipikal pahlawan berkelahi, membawa pergi wanita, dan menggemerisik ternak.",Berkembang Sedang
"Setelah kematian mereka, mereka melewati enam bulan secara bergantian di bawah Bumi dan di dunia atas, yang menunjukkan bahwa pemujaan mereka, seperti pemujaan terhadap Persephone (putri Zeus dan Demeter), dikaitkan dengan kesuburan atau perubahan musim.",Sudah Mahir
"Mitos-mitos tertentu, yang menyebutkan dewi atau pahlawan untuk sementara waktu dipenjarakan di dunia bawah, merupakan alegori pembaruan musiman.",Sudah Mahir
"Mungkin mitos yang paling terkenal dari jenis ini adalah mitos yang menceritakan caranya Hades (Latin Pluto), dewa dunia bawah, membawa Persephone pergi menjadi pendampingnya, menyebabkan ibunya, Demeter, dewi gandum, membiarkan bumi menjadi tandus karena kesedihannya.",Sudah Mahir
"Karena kesedihan ibunya, Zeus mengizinkan Persefone menghabiskan empat bulan dalam setahun di rumah Hades dan delapan bulan di siang hari.",Sudah Mahir
"Di iklim yang tidak terlalu bersahabat, dia dikatakan menghabiskan enam bulan dalam setahun di masing-masing iklim.",Sudah Mahir
"Beberapa ahli berpendapat bahwa waktu Persefone berada di bawah tanah mewakili bulan-bulan musim panas, ketika ladang-ladang Yunani kering dan gundul, namun Nyanyian Rohani Demeter, sumber mitos yang paling awal, menyatakan secara eksplisit bahwa Persefone kembali ketika bunga-bunga musim semi bermekaran.",Sudah Mahir
"Mitos mengenai pembaharuan musiman, dimana dewa mati dan hidup kembali pada waktu-waktu tertentu dalam setahun, sangatlah banyak.",Berkembang Sedang
"Contoh Yunani yang penting adalah Zeus Kreta, yang disebutkan di atas.",Berkembang Sedang
"Banyak mitos Yunani yang terlibat transformasi hewan, meskipun tidak ada bukti bahwa theriolatry (pemujaan hewan) pernah dilakukan oleh orang Yunani.",Sudah Mahir
Dewa terkadang mengambil wujud binatang untuk menipu dewi atau wanita.,Berkembang Sedang
"Salah satu contoh yaitu Zeus mengambil wujud banteng ketika ia dibawa pergi Europa , seorang putri Fenisia, dan dia muncul dalam bentuk angsa untuk menarik perhatian Leda, istri raja Sparta.",Sudah Mahir
Poseidon mengambil bentuk seekor kuda jantan untuk melahirkan kuda ajaib Arion dan Pegasus.,Sudah Mahir
Mitos-mitos ini tidak menyarankan adanya theriolatry.,Belum Berkembang
Tidak ada pemujaan yang dipersembahkan kepada dewa yang bersangkutan.,Berkembang Sedang
Hewan-hewan mempunyai tujuan lain dalam narasinya.,Belum Berkembang
Banteng adalah hewan paling kuat yang dikenal orang Yunani dan mungkin telah disembah di masa lalu.,Sudah Mahir
"Namun, bagi orang-orang Yunani, bahkan dalam sumber-sumber paling awal tidak ada indikasi bahwa Zeus atau Poseidon pernah menjadi banteng atau kuda atau bahwa Hera pernah “bermata lembu” selain secara metaforis atau bahwa Athena yang “bermata abu-abu” pernah menjadi “burung hantu"".",Sudah Mahir
Jenis mitos lain memberikan contoh kepercayaan bahwa para dewa terkadang muncul di Bumi dengan menyamar sebagai pria dan wanita dan memberi imbalan atas bantuan atau keramahtamahan yang diberikan kepada mereka.,Sudah Mahir
"Baucis, seorang wanita tua Frigia, dan Filemon, suaminya, misalnya, diselamatkan dari banjir dengan memberikan keramahtamahan kepada Zeus dan Hermes, keduanya berwujud manusia.",Berkembang Sedang
"Hukuman bagi manusia anggapan mengaku lebih unggul dari para dewa, baik dalam kemampuan bermusik maupun jumlah anak, digambarkan dalam beberapa mitos.",Belum Berkembang
"Kecemburuan para dewa terhadap bakat musik manusia tampak dalam pemukulan dan pengupasan pemain satir aulos, Marsyas, oleh Athena dan Apollo, serta menempelkan telinga keledai ke Raja Midas karena gagal mengapresiasi keunggulan musik Apollo dibandingkan musik dewa Pan.",Sudah Mahir
Kecemburuan adalah motif pembunuhan itu karena Niobe memamerkan kesuburannya kepada dewi Leto yang hanya mempunyai dua keturunan.,Sudah Mahir
"Kisah-kisah serupa adalah kisah-kisah moral tentang nasibIcarus, yang terbang terlalu tinggi dengan sayap buatan sendiri, atau mitos tentang Phaethon, putra Helios, yang gagal melakukan tugas yang terlalu berat baginya (mengendalikan kuda kereta Matahari).",Sudah Mahir
"Transformasi menjadi bunga atau pohon—apakah ingin melepaskan diri dari pelukan dewa (seperti dengan Daphne, bidadari yang berubah menjadi pohon salam), akibat kecelakaan (seperti Hyacinthus, teman Apollo, yang diubah menjadi bunga), atau karena kesombongan seperti halnya pemuda cantik Narcissus, yang jatuh cinta pada bayangannya sendiri dan diubah menjadi bunga adalah tema yang akrab dalam mitos Yunani.",Sudah Mahir
"Yang juga populer adalah mitos tentang negeri dongeng, seperti Taman Hesperides (di ujung barat) atau negeri Hyperborean (di ujung utara), atau perjumpaan dengan makhluk tak biasa, seperti Centaur, atau masyarakat khas, seperti itu Amazon.",Sudah Mahir
"Masyarakat Barat di segala zaman telah tergerak dan dibuat bingung oleh kesederhanaan mitos Yunani yang menipu, dan mitologi Yunani mempunyai pengaruh yang besar terhadap perkembangan peradaban Barat.",Sudah Mahir
Representasi visual paling awal dari karakter dan motif mitologi terjadi pada akhir Seni Mycenaean dan sub-Mycenaean.,Berkembang Sedang
"Meskipun identifikasi masih kontroversial, Centaur, sirene, dan bahkan kekasih Zeus, Europa, telah dikenali.",Sudah Mahir
"Tema mitologi dan epik juga ditemukan dalam seni Geometris abad ke 8 SM, namun baru pada abad k-7 tema tersebut menjadi populer baik dalam karya keramik maupun pahatan.",Berkembang Sedang
"Selama periode klasik dan selanjutnya, hal itu menjadi hal yang lumrah.",Berkembang Sedang
"Kelahiran Athena adalah subjek dari pedimen timur Parthenon di Athena, dan legenda Pelops serta karya Heracles adalah subjek dari pedimen dan metope yang sesuai (ruang antara triglif pada dekorasi Doric) dari Kuil Zeus di Olympia.",Sudah Mahir
Pertarungan para dewa dengan Raksasa dan Lapith (suku pegunungan di Yunani utara) dengan Centaur juga menjadi motif favorit.,Berkembang Sedang
"Lukisan dinding Pompeian mengungkapkan representasi realistis dari Theseus dan Ariadne, Perseus, jatuhnya Icarus, dan kematian Pyramus.",Berkembang Sedang
Besar para ahli Renaisans menambahkan dimensi baru pada mitologi Yunani.,Berkembang Sedang
"Di antara subjek seniman Italia yang paling terkenal adalah Birth of Venus karya Sandro Botticelli, Ledas karya Leonardo da Vinci dan Michelangelo, serta Galatea karya Raphael.",Sudah Mahir
"Melalui media bahasa Latin dan, yang terpenting, karya-karya Ovid, mitos Yunani dipengaruhi penyair seperti Dante dan Petrarch di Italia dan Geoffrey Chaucer di Inggris dan, kemudian, Elizabethans Inggris dan John Milton.",Sudah Mahir
"Jean Racine di Perancis dan Johann Wolfgang von Goethe di Jerman menghidupkan kembali drama Yunani, dan hampir semua penyair besar Inggris dari William Shakespeare hingga Robert Bridges mencari inspirasi dari mitologi Yunani.",Berkembang Sedang
"Pada abad-abad berikutnya, tema-tema Klasik ditafsirkan ulang oleh dramawan besar seperti Jean Anouilh , Jean Cocteau , dan Jean Giraudoux di Perancis, Eugene O'Neill di Amerika, dan TS Eliot di Inggris dan oleh novelis besar seperti James Joyce (Irlandia) dan André.",Berkembang Sedang
"Komposer Jerman Christoph Gluck (abad ke18) dan Richard Strauss (abad ke 20), komposer Jerman-Prancis Jacques Offenbach (abad ke 19), komposer Rusia Igor Stravinsky (abad ke 20), dan banyak lainnya telah memasukkan tema mitologi Yunani ke dalam musik.",Berkembang Sedang
